35KV 3# 主变用电量,data
226243296,
226244128,832
226244752,624
226245584,832
226246432,848
226247280,848
226248112,832
226248960,848
226249584,624
226250432,848
226251280,848
226251680,400
226252528,848
226253360,832
226254208,848
226255040,832
226255888,848
226256720,832
226257568,848
226258416,848
226259248,832
226259888,640
226260720,832
226261568,848
226261984,416
226262816,832
226263664,848
226264496,832
226265136,640
226265984,848
226266816,832
226267664,848
226268496,832
226269344,848
226270160,816
226271008,848
226271840,832
226272272,432
226273120,848
226273952,832
226274592,640
226275408,816
226276256,848
226276880,624
226277728,848
226278368,640
226279200,832
226279840,640
226280656,816
226281296,640
226282144,848
226282976,832
226283824,848
226284656,832
226285504,848
226286128,624
226286976,848
226287584,608
226288656,1072
226289072,416
226290112,1040
226290752,640
226291584,832
226292224,640
226292848,624
226293680,832
226294320,640
226294960,640
226295792,832
226296416,624
226297248,832
226297888,640
226298720,832
226299360,640
226300000,640
226301040,1040
226301664,624
226302288,624
226303136,848
226303776,640
226304416,640
226305248,832
226305872,624
226306704,832
226307136,432
226308176,1040
226308816,640
226309440,624
226310272,832
226310912,640
226311744,832
226312592,848
226313232,640
226314064,832
226314688,624
226315312,624
226316368,1056
226317200,832
226318048,848
226318688,640
226319728,1040
226320368,640
226320992,624
226321840,848
226322448,608
226323296,848
226323936,640
226324768,832
226325616,848
226325824,208
226327088,1264
226327712,624
226328544,832
226329184,640
226330016,832
226330864,848
226331712,848
226332336,624
226333168,832
226333792,624
226334640,848
226335280,640
226336112,832
226336960,848
226337792,832
226338208,416
226339248,1040
226339680,432
226340720,1040
226341360,640
226342208,848
226342832,624
226343456,624
226344288,832
226344928,640
226345568,640
226346416,848
226347248,832
226348096,848
226348912,816
226349744,832
226350176,432
226351024,848
226351856,832
226352704,848
226353744,1040
226354384,640
226355232,848
226355840,608
226356480,640
