5900风机,data
161390048,
161390448,400
161390880,432
161391296,416
161391712,416
161392144,432
161392560,416
161392976,416
161393392,416
161393824,432
161393824,0
161394656,832
161395072,416
161395504,432
161395920,416
161396768,848
161397184,416
161397600,416
161398016,416
161398448,432
161398864,416
161399280,416
161399712,432
161400544,832
161400960,416
161401376,416
161401792,416
161402224,432
161402640,416
161403472,832
161403904,432
161404320,416
161405152,832
161405584,432
161406000,416
161406416,416
161406848,432
161407264,416
161408096,832
161408528,432
161408944,416
161409360,416
161409776,416
161410624,848
161410624,0
161411040,416
161411456,416
161411872,416
161412288,416
161412720,432
161412720,0
161413136,416
161413552,416
161413984,432
161413984,0
161414816,832
161415232,416
161415664,432
161416080,416
161416496,416
161417344,848
161417760,416
161418176,416
161418608,432
161419024,416
161419440,416
161420288,848
161420704,416
161421120,416
161421552,432
161421952,400
161422800,848
161423216,416
161423632,416
161424064,432
161424480,416
161425312,832
161425312,0
161426160,848
161426576,416
161427008,432
161427424,416
161427840,416
161428688,848
161428688,0
161429520,832
161429936,416
161430368,432
161431200,832
161431200,0
161432048,848
161432448,400
161432880,432
161433296,416
161434144,848
161434560,416
161434976,416
161435392,416
161436240,848
161436656,416
161437072,416
161437504,432
161437920,416
161438336,416
161438768,432
161439184,416
161439600,416
161440016,416
161440448,432
161440864,416
161441280,416
161441712,432
161442128,416
161442544,416
161443376,832
161443792,416
161444224,432
161444640,416
161445056,416
161445472,416
161446320,848
161446736,416
161447152,416
161447584,432
161448000,416
161448416,416
161449264,848
161449680,416
161450096,416
161450528,432
161451360,832
161451360,0
161452208,848
161452624,416
161453040,416
161453456,416
161454288,832
161454720,432
161455136,416
161455552,416
161455984,432
161456400,416
161456816,416
161457232,416
161457664,432
161458080,416
161458496,416
161458928,432
161459344,416
161459760,416
