GM风机I回,data
67085640,
67085860,220
67086000,140
67086072,72
67086288,216
67086360,72
67086508,148
67086716,208
67086796,80
67087004,208
67087004,0
67087292,288
67087372,80
67087584,212
67087660,76
67087800,140
67088016,216
67088160,144
67088228,68
67088448,220
67088516,68
67088736,220
67088804,68
67088952,148
67089172,220
67089312,140
67089384,72
67089600,216
67089672,72
67089816,144
67090028,212
67090176,148
67090248,72
67090464,216
67090604,140
67090684,80
67090824,140
67091040,216
67091184,144
67091328,144
67091400,72
67091616,216
67091688,72
67091908,220
67091976,68
67092196,220
67092264,68
67092484,220
67092552,68
67092772,220
67092840,68
67093060,220
67093128,68
67093340,212
67093416,76
67093628,212
67093628,0
67093916,288
67093996,80
67094204,208
67094352,148
67094492,140
67094572,80
67094784,212
67094860,76
67095000,140
67095216,216
67095288,72
67095508,220
67095576,68
67095796,220
67095864,68
67096004,140
67096224,220
67096372,148
67096440,68
67096584,144
67096800,216
67096940,140
67097088,148
67097308,220
67097376,68
67097596,220
67097664,68
67097884,220
67098024,140
67098092,68
67098312,220
67098384,72
67098528,144
67098672,144
67098888,216
67099028,140
67099248,220
67099316,68
67099464,148
67099684,220
67099824,140
67100040,216
67100112,72
67100328,216
67100472,144
67100616,144
67100760,144
67100828,68
67101048,220
67101116,68
67101336,220
67101484,148
67101552,68
67101772,220
67101840,68
67101984,144
67102200,216
67102340,140
67102416,76
67102560,144
67102776,216
67102916,140
67103136,220
67103204,68
67103424,220
67103572,148
67103712,140
67103784,72
67104000,216
67104072,72
67104216,144
67104428,212
67104576,148
67104716,140
67104864,148
67104936,72
67105152,216
67105224,72
67105372,148
67105512,140
67105728,216
67105872,144
67106016,144
67106160,144
67106376,216
67106516,140
67106596,80
67106804,208
67106884,80
67107092,208
67107240,148
67107312,72
67107460,148
