硫酸系统1#变,data
18439896,
18439920,24
18439968,48
18440016,48
18440040,24
18440088,48
18440112,24
18440136,24
18440184,48
18440208,24
18440256,48
18440280,24
18440304,24
18440352,48
18440376,24
18440424,48
18440448,24
18440472,24
18440520,48
18440544,24
18440568,24
18440616,48
18440640,24
18440664,24
18440712,48
18440736,24
18440784,48
18440808,24
18440832,24
18440880,48
18440904,24
18440928,24
18440976,48
18441000,24
18441024,24
18441072,48
18441096,24
18441144,48
18441168,24
18441216,48
18441240,24
18441264,24
18441288,24
18441336,48
18441360,24
18441384,24
18441432,48
18441456,24
18441480,24
18441528,48
18441552,24
18441600,48
18441624,24
18441648,24
18441696,48
18441744,48
18441744,0
18441792,48
18441840,48
18441888,48
18441912,24
18441960,48
18442008,48
18442032,24
18442056,24
18442104,48
18442152,48
18442176,24
18442224,48
18442248,24
18442272,24
18442320,48
18442368,48
18442392,24
18442440,48
18442464,24
18442488,24
18442512,24
18442560,48
18442608,48
18442656,48
18442680,24
18442728,48
18442752,24
18442800,48
18442824,24
18442872,48
18442896,24
18442944,48
18442968,24
18442992,24
18443040,48
18443040,0
18443088,48
18443136,48
18443160,24
18443184,24
18443232,48
18443256,24
18443280,24
18443328,48
18443352,24
18443400,48
18443448,48
18443472,24
18443496,24
18443544,48
18443568,24
18443616,48
18443688,72
18443736,48
18443760,24
18443808,48
18443856,48
18443904,48
18443952,48
18444000,48
18444024,24
18444096,72
18444120,24
18444168,48
18444216,48
18444264,48
18444312,48
18444360,48
18444408,48
18444432,24
18444480,48
18444504,24
18444576,72
18444624,48
18444672,48
18444720,48
18444768,48
18444816,48
18444864,48
18444912,48
18444960,48
18445008,48
18445056,48
18445080,24
18445128,48
18445176,48
18445224,48
18445272,48
18445320,48
18445344,24
18445392,48
18445440,48
18445488,48
