熔炼电炉变,data
86798672,
86799088,416
86799296,208
86799512,216
86799928,416
86799928,0
86800352,424
86800560,208
86800776,216
86800976,200
86801192,216
86801400,208
86801816,416
86802032,216
86802240,208
86802456,216
86802872,416
86803080,208
86803296,216
86803504,208
86803704,200
86803920,216
86804128,208
86804344,216
86804760,416
86804968,208
86805184,216
86805384,200
86805600,216
86805808,208
86806024,216
86806440,416
86806648,208
86806648,0
86807072,424
86807280,208
86807488,208
86807704,216
86808128,424
86808128,0
86808544,416
86808752,208
86808952,200
86809168,216
86809376,208
86809592,216
86810008,416
86810216,208
86810432,216
86810640,208
86811056,416
86811272,216
86811480,208
86811696,216
86811896,200
86812112,216
86812536,424
86812736,200
86812952,216
86813160,208
86813376,216
86813576,200
86813576,0
86814000,424
86814208,208
86814424,216
86814624,200
86815048,424
86815264,216
86815464,200
86815680,216
86816104,424
86816304,200
86816520,216
86816728,208
86816944,216
86817144,200
86817568,424
86817784,216
86817992,208
86818208,216
86818408,200
86818624,216
86819048,424
86819248,200
86819456,208
86819672,216
86820088,416
86820296,208
86820296,0
86820720,424
86820928,208
86821136,208
86821560,424
86821776,216
86821976,200
86822192,216
86822400,208
86822616,216
86823032,416
86823240,208
86823456,216
86823656,200
86823872,216
86824080,208
86824496,416
86824704,208
86824920,216
86825128,208
86825344,216
86825544,200
86825968,424
86826184,216
86826184,0
86826600,416
86826808,208
86827024,216
86827224,200
86827648,424
86827648,0
86828072,424
86828280,208
86828488,208
86828704,216
86828912,208
86829328,416
86829544,216
86829752,208
86829952,200
86830168,216
86830376,208
86830592,216
86830792,200
86831216,424
86831432,216
86831640,208
86831856,216
86831856,0
86832272,416
86832480,208
86832696,216
86832896,200
86833112,216
86833536,424
86833736,200
86833952,216
86834160,208
86834376,216
86834576,200
86834792,216
